name,description,prompt
"Barrel Twist","This service comes with blow drying, which is a unique styling for men.","A hyper-realistic professional beauty studio portrait of a young Nigerian man. His hair is styled in a Barrel Twist — small, tightly-rolled twists with a blow-dried finish, giving a neat and structured look. The subject is captured in a direct front-facing gaze, with a calm, confident expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
All Twists,"All Twists on Natural Hair, styling your twists comes with extra 1,000.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in medium-length two-strand twists all over the head, showing beautiful definition and natural texture. The subject is captured in a 45-degree profile turn, looking off-camera, with a serene and elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
Twists with any combo (twists with weaves or styling),"Twists with Weaving , Flat twists, inverted braid and our specials.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features a creative combination of two-strand twists and flat weaves, showcasing intricate pattern work and texture contrast. The subject is captured in a three-quarter profile, chin slightly lifted, with a proud and regal expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep burgundy ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Flat twists (All back)","All Flat twists","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Shot from a slight overhead angle to showcase the full crown pattern. Her hair is styled in flat twists going all the way back, lying close to the scalp in clean, neat rows that show beautiful natural texture. The subject is captured turned slightly to show a full side profile, with a calm and introspective look. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Finger Coils","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in finger coils — tight, springy defined coils formed by twisting small sections around the finger, showing stunning natural shrinkage and curl definition. The subject is captured facing the camera directly, head tilted slightly, with a joyful, radiant smile. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory cream ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Mini twists","Mini twists","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in medium-length mini twists, meticulously detailed to show every strand, texture, and natural sheen. The subject is captured in a 45-degree profile turn, looking off-camera, with a serene and elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Micro Twists","Micro twists are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in micro twists — extremely fine, densely packed twists that create a delicate, feather-light look with incredible texture detail. The subject is captured facing forward with a slight three-quarter turn, with a graceful and sophisticated expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty rose ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
Twists with mini weaves,"","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features two-strand twists combined with mini weave sections, creating a textured, layered look that blends natural hair with carefully matched extensions. The subject is captured in a 45-degree profile, looking slightly downward, with a thoughtful and serene expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck terracotta ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Twists with micro weaves","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features two-strand twists combined with micro weave sections, creating an ultra-fine, densely detailed protective style. The subject is captured in a gentle three-quarter turn, chin down, with a soft and contemplative expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Flatwists (with combo)","Flattwists with twists","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features flat twists at the crown transitioning into two-strand twists at the ends, showing beautiful pattern contrast and texture flow. The subject is captured in a slight overhead angle looking down at the camera, with a peaceful, elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
